Feedback_ID,Product_ID,Country_ID,Year,Rating,Recommendation_Flag,Feedback_Category,Is_Negative
F000001,3,2,2025,3.85,0,Battery Performance,0
F000002,2,4,2026,5.0,1,Software & UI,0
F000003,3,3,2026,4.31,1,Battery Performance,0
F000004,1,3,2022,3.75,0,Price & Value,0
F000005,1,2,2023,3.48,0,Build Quality,0
F000006,4,9,2025,4.0,0,Battery Performance,1
F000007,3,1,2026,3.96,0,Battery Performance,0
F000008,2,8,2022,4.26,0,Software & UI,0
F000009,1,1,2026,4.08,0,Software & UI,0
F000010,2,5,2022,4.14,1,Software & UI,0
F000011,3,4,2025,4.53,1,Charging Infrastructure,0
F000012,1,1,2025,3.29,0,Charging Infrastructure,0
F000013,3,6,2024,3.18,0,Price & Value,0
F000014,1,2,2023,4.1,1,Battery Performance,1
F000015,3,5,2025,3.62,0,Charging Infrastructure,1
F000016,3,1,2022,4.69,1,Software & UI,0
F000017,1,4,2024,3.35,0,Battery Performance,1
F000018,1,3,2025,4.14,1,Build Quality,0
F000019,3,1,2026,4.14,1,Battery Performance,0
F000020,2,1,2026,4.73,0,Battery Performance,1
F000021,1,5,2023,4.28,1,Price & Value,1
F000022,3,3,2022,3.74,0,Service Experience,1
F000023,1,1,2022,3.72,0,Build Quality,0
F000024,2,4,2022,5.0,1,Software & UI,0
F000025,3,6,2025,5.0,1,Build Quality,0
F000026,3,1,2025,3.32,0,Build Quality,1
F000027,4,8,2026,3.93,0,Battery Performance,0
F000028,2,8,2025,5.0,1,Charging Infrastructure,0
F000029,2,5,2022,4.84,1,Service Experience,0
F000030,1,9,2022,2.92,0,Charging Infrastructure,0
F000031,1,8,2026,3.18,0,Software & UI,0
F000032,3,4,2023,4.59,1,Charging Infrastructure,0
F000033,2,8,2022,5.0,1,Charging Infrastructure,0
F000034,1,1,2024,3.56,0,Charging Infrastructure,1
F000035,1,11,2026,4.2,1,Charging Infrastructure,0
F000036,3,4,2022,4.42,1,Price & Value,0
F000037,3,6,2024,3.84,0,Battery Performance,0
F000038,3,11,2024,4.8,0,Price & Value,0
F000039,1,5,2023,4.25,1,Software & UI,1
F000040,1,7,2025,3.0,0,Service Experience,1
F000041,2,3,2023,5.0,0,Battery Performance,0
F000042,3,5,2022,4.32,0,Charging Infrastructure,0
F000043,1,2,2024,3.76,0,Service Experience,0
F000044,1,1,2026,4.01,1,Software & UI,1
F000045,1,2,2025,3.89,0,Battery Performance,0
F000046,1,6,2023,3.1,0,Battery Performance,1
F000047,1,9,2022,3.42,0,Charging Infrastructure,0
F000048,3,3,2023,4.31,1,Price & Value,0
F000049,1,8,2023,3.53,0,Service Experience,0
F000050,2,2,2025,4.26,1,Build Quality,0
F000051,3,2,2022,4.48,1,Charging Infrastructure,0
F000052,1,2,2022,3.16,0,Build Quality,0
F000053,1,1,2026,3.97,0,Battery Performance,0
F000054,1,4,2024,3.33,0,Software & UI,0
F000055,3,1,2025,4.06,1,Charging Infrastructure,0
F000056,3,1,2026,4.27,1,Software & UI,0
F000057,2,4,2022,4.03,1,Software & UI,0
F000058,1,5,2023,3.51,0,Software & UI,0
F000059,1,5,2024,4.09,0,Service Experience,0
F000060,4,4,2022,4.14,1,Build Quality,1
F000061,1,6,2022,3.73,0,Battery Performance,0
F000062,4,6,2024,3.98,0,Battery Performance,0
F000063,4,2,2025,5.0,0,Software & UI,0
F000064,1,10,2024,3.66,0,Battery Performance,0
F000065,1,8,2025,3.69,0,Battery Performance,0
F000066,1,8,2022,3.87,0,Price & Value,1
F000067,4,7,2026,4.5,1,Software & UI,0
F000068,3,3,2025,3.6,0,Battery Performance,0
F000069,1,4,2023,3.62,0,Charging Infrastructure,0
F000070,1,5,2025,3.94,0,Build Quality,1
F000071,2,10,2024,3.8,0,Battery Performance,0
F000072,3,1,2025,3.95,0,Build Quality,1
F000073,2,1,2025,4.16,1,Build Quality,0
