Employee_ID,Department,Role,Base_Salary,Incentive,Hire_Date,Country_ID
E00001,Manufacturing,Manager,116012,9065.73,2015-04-05,4
E00002,Manufacturing,Supervisor,58590,5070.19,2015-08-15,3
E00003,Manufacturing,Operator,41412,4631.08,2019-09-15,4
E00004,Manufacturing,Manager,125549,17860.39,2017-11-12,2
E00005,Manufacturing,Supervisor,62365,9151.42,2024-11-23,2
E00006,Manufacturing,Supervisor,51176,4622.67,2025-03-23,2
E00007,Manufacturing,Operator,41842,3146.31,2016-07-01,3
E00008,Manufacturing,Operator,38560,3669.63,2016-08-25,1
E00009,Manufacturing,Supervisor,50477,2861.73,2017-06-26,10
E00010,Manufacturing,Manager,133314,10065.96,2018-10-10,7
E00011,Manufacturing,Operator,41250,5218.59,2023-05-06,6
E00012,Manufacturing,Operator,36663,3550.2,2017-03-08,1
E00013,Manufacturing,Manager,140086,15277.05,2024-05-10,11
E00014,Manufacturing,Supervisor,64378,7853.95,2020-08-15,1
E00015,Manufacturing,Manager,131611,13757.46,2017-10-13,9
E00016,Manufacturing,Manager,121981,12951.63,2014-12-15,5
E00017,Manufacturing,Supervisor,56865,6995.12,2018-03-18,8
E00018,Manufacturing,Supervisor,60308,3872.72,2024-12-03,4
E00019,Manufacturing,Manager,126351,6878.82,2021-07-22,2
E00020,Manufacturing,Manager,130558,7557.4,2025-11-18,6
E00021,Manufacturing,Supervisor,52950,4624.13,2017-06-05,4
E00022,Manufacturing,Manager,143729,12152.78,2017-12-16,7
E00023,Manufacturing,Manager,145093,20739.94,2016-09-12,4
E00024,Manufacturing,Supervisor,53342,5892.24,2024-10-03,6
E00025,Manufacturing,Operator,42112,3442.19,2016-06-13,5
E00026,Manufacturing,Operator,41947,2106.18,2021-08-28,4
E00027,Manufacturing,Supervisor,63544,5858.75,2017-05-01,1
E00028,Manufacturing,Manager,129346,12676.36,2019-12-19,5
E00029,Manufacturing,Manager,139415,18442.19,2019-11-09,3
E00030,Manufacturing,Manager,127048,8432.99,2025-10-19,3
E00031,Manufacturing,Supervisor,63175,3630.33,2022-11-13,1
E00032,Manufacturing,Manager,139653,16497.1,2024-01-22,11
E00033,Manufacturing,Operator,42361,2258.21,2025-10-20,2
E00034,Manufacturing,Operator,44065,6304.9,2015-06-20,1
E00035,Manufacturing,Supervisor,52049,3410.87,2020-10-12,3
E00036,Manufacturing,Supervisor,64908,7699.05,2022-01-27,3
E00037,Manufacturing,Manager,121543,16331.01,2021-04-05,4
E00038,Manufacturing,Operator,37955,3051.65,2017-02-28,2
E00039,Manufacturing,Operator,36138,3801.98,2015-04-11,8
E00040,Manufacturing,Manager,119333,10113.46,2025-10-16,7
E00041,Manufacturing,Operator,35679,5190.92,2023-07-22,2
